RecordIdentifier,Author,authID
oai:dash.harvard.edu:1/2585485,"Ellison, Peter",473
oai:dash.harvard.edu:1/2580300,"Ellison, Peter",473
oai:dash.harvard.edu:1/2579735,"Ellison, Peter",473
oai:dash.harvard.edu:1/2643116,"Ellison, Peter",473
oai:dash.harvard.edu:1/2579905,"Ellison, Peter",473
oai:dash.harvard.edu:1/2579654,"Ellison, Peter",473
oai:dash.harvard.edu:1/2600686,"Ellison, Peter",473
oai:dash.harvard.edu:1/2580545,"Ellison, Peter",473
oai:dash.harvard.edu:1/2643121,"Ellison, Peter",473
oai:dash.harvard.edu:1/2579652,"Ellison, Peter",473
oai:dash.harvard.edu:1/2581622,"Ellison, Peter",473
oai:dash.harvard.edu:1/2757545,"Ellison, Peter",473
oai:dash.harvard.edu:1/2894778,"Ellison, Peter",473
oai:dash.harvard.edu:1/2958492,"Ellison, Peter",473
oai:dash.harvard.edu:1/2961313,"Ellison, Peter",473
oai:dash.harvard.edu:1/2962613,"Ellison, Peter",473
oai:dash.harvard.edu:1/2949645,"Ellison, Peter",473
oai:dash.harvard.edu:1/3008263,"Ellison, Peter",473
oai:dash.harvard.edu:1/3008264,"Ellison, Peter",473
oai:dash.harvard.edu:1/2894777,"Ellison, Peter",473
oai:dash.harvard.edu:1/2894779,"Ellison, Peter",473
oai:dash.harvard.edu:1/2894770,"Ellison, Peter",473
oai:dash.harvard.edu:1/13890650,"Ellison, Peter T",23122
oai:dash.harvard.edu:1/3685827,"Ellison, Peter T.",3068
oai:dash.harvard.edu:1/3743678,"Ellison, Peter T.",3068
oai:dash.harvard.edu:1/4703923,"Ellison, Peter T.",3068
oai:dash.harvard.edu:1/4262996,"Ellison, Peter T.",3068
oai:dash.harvard.edu:1/4262995,"Ellison, Peter T.",3068
oai:dash.harvard.edu:1/4796828,"Ellison, Peter T.",3068
oai:dash.harvard.edu:1/4796908,"Ellison, Peter T.",3068
oai:dash.harvard.edu:1/11213362,"Ellison, Peter T.",3068
